Company_Code,Company_Name,SAP_Doc_Number,Reference,Document_Type,Business_Area,Branch/Alloc.,Fiscal_Year,Posting_Period,DocChq_Date,Posting_Date,Amount_in_Local_Currency ,Local_Currency,Amount_in_Document_Currency ,Document_Currency,Discount_Base_Amount,GST_Amount,Net_Amount ,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,VendorCustomer,VendorCustomer_Name,Trading_Partner,Text_                                                                                                    ,HDR_Text                                                                                                    ,InvSO_Reference,Plant,Purchasing_Document,Delivery_Note,Account,Account_Description,Offsetting_Account,Offsetting_Acct_Name,GRIR_Offsetting_Account,Final_Offsetting_Account,Final_Offsetting_Acct_Name,WBS_Element,Posting_Key,DebitCredit,Special_GL_Ind,Reversal_Indicator,Clearing_Doc,Clearing_Date,Entry_date,Entry_Time,Notional_GST,Gross_Amount_In_Local_Currency,DE_Indicator,PO_Line,Entry_Line
1000,Tata Steel Limited,55636044,51760890,SA,5010,WBKO,2020,12,20-07-2010,01-03-2020,"2,834.00",INR,"2,834.00",INR,0.00,0.00,"2,834.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Dummy IV Transfer to UCB GL,Transfer to UCB,V,,,,2408402,Vendor Reconciliation Account - Domestic,2408403,Unadjusted Credit Balance (Vendors),,2408403,Unadjusted Credit Balance (Vendors),0,21,S,,,93393253,29-03-2020,28-03-2020,11:45:02,0.00,"2,834.00",,,1
1000,Tata Steel Limited,93046164,DD NO-186797,AB,9500,T040,2020,11,07-02-2020,07-02-2020,-400.00,INR,-400.00,INR,0.00,0.00,-400.00,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,Gate pass penalty,93046164,,,,2408402,Vendor Reconciliation Account - Domestic,1242312,Current Account With Sbi(Jsr) - Tubes,,1242312,Current Account With Sbi(Jsr) - Tubes,0,37,H,,,93046164,07-02-2020,07-02-2020,17:50:59,0.00,-400.00,,,2
1000,Tata Steel Limited,93046166,DD NO-186798,AB,9500,T040,2020,11,07-02-2020,07-02-2020,-200.00,INR,-200.00,INR,0.00,0.00,-200.00,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,Gate pass penalty,93046166,,,,2408402,Vendor Reconciliation Account - Domestic,1242312,Current Account With Sbi(Jsr) - Tubes,,1242312,Current Account With Sbi(Jsr) - Tubes,0,37,H,,,93046166,07-02-2020,07-02-2020,17:53:50,0.00,-200.00,,,2
1000,Tata Steel Limited,93062212,RECO/ITC/18-19,AB,9600,DNOT,2020,11,01-04-2018,11-02-2020,"16,23,616.05",INR,"16,23,616.05",INR,"16,23,616.05",0.00,"16,23,616.05",0.00,0.00,T085,TATA BLUESCOPE STEEL LTD,,Recovery of ITC along with interest for 18-19,Recovery of ITC with Inte,93062212,,,,2408402,Vendor Reconciliation Account - Domestic,T085,TATA BLUESCOPE STEEL LTD,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,11-02-2020,16:13:24,0.00,"16,23,616.05",,,1
1000,Tata Steel Limited,93062212,RECO/ITC/18-19,AB,9600,DNOT,2020,11,01-04-2018,11-02-2020,"-16,23,616.05",INR,"-16,23,616.05",INR,"-16,23,616.05",0.00,"-16,23,616.05",0.00,0.00,T085,TATA BLUESCOPE STEEL LTD,,Recovery of ITC along with interest for 18-19,Recovery of ITC with Inte,93062212,,,,2408402,Vendor Reconciliation Account - Domestic,T085,TATA BLUESCOPE STEEL LTD,,2408402,Vendor Reconciliation Account - Domestic,0,31,H,,,,,11-02-2020,16:13:24,0.00,"-16,23,616.05",,,2
1000,Tata Steel Limited,92076426,DD 007588,AB,9500,T040,2020,6,11-09-2019,11-09-2019,-800.00,INR,-800.00,INR,0.00,0.00,-800.00,0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,Gatepass Penalty,92076426,,,,2408402,Vendor Reconciliation Account - Domestic,1242312,Current Account With Sbi(Jsr) - Tubes,,1242312,Current Account With Sbi(Jsr) - Tubes,0,37,H,,,92076426,11-09-2019,12-09-2019,09:23:43,0.00,-800.00,,,2
1000,Tata Steel Limited,93101630,RECO/ITC/19-20,AB,9600,DNOT,2020,11,01-04-2019,17-02-2020,"14,90,846.75",INR,"14,90,846.75",INR,"14,90,846.75",0.00,"14,90,846.75",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Recovery of ITC along with interest for 19-20,Recovery of ITC with Inte,93101630,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,45259059,09-03-2020,17-02-2020,12:18:05,0.00,"14,90,846.75",,,2
1000,Tata Steel Limited,93101630,RECO/ITC/19-20,AB,9600,DNOT,2020,11,01-04-2019,17-02-2020,"-14,90,846.75",INR,"-14,90,846.75",INR,"-14,90,846.75",0.00,"-14,90,846.75",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Recovery of ITC along with interest for 19-20,Recovery of ITC with Inte,93101630,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,31,H,,,45003579,08-04-2020,17-02-2020,12:18:05,0.00,"-14,90,846.75",,,1
1000,Tata Steel Limited,93117008,,AB,9000,T040,2020,11,19-02-2020,19-02-2020,"16,39,864.88",INR,"16,39,864.88",INR,0.00,0.00,"16,39,864.88",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,93117008,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,27,S,,,93117008,19-02-2020,19-02-2020,12:14:40,0.00,"16,39,864.88",,,4
1000,Tata Steel Limited,93117008,,AB,9000,T040,2020,11,19-02-2020,19-02-2020,"-16,39,864.88",INR,"-16,39,864.88",INR,0.00,0.00,"-16,39,864.88",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,93117008,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,37,H,,,93117008,19-02-2020,19-02-2020,12:14:40,0.00,"-16,39,864.88",,,2
1000,Tata Steel Limited,93117008,,AB,9000,T040,2020,11,19-02-2020,19-02-2020,"12,37,110.82",INR,"12,37,110.82",INR,0.00,0.00,"12,37,110.82",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,93117008,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,27,S,,,93117008,19-02-2020,19-02-2020,12:14:40,0.00,"12,37,110.82",,,3
1000,Tata Steel Limited,93117008,,AB,9000,T040,2020,11,19-02-2020,19-02-2020,"-12,37,110.82",INR,"-12,37,110.82",INR,0.00,0.00,"-12,37,110.82",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,93117008,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,37,H,,,93117008,19-02-2020,19-02-2020,12:14:40,0.00,"-12,37,110.82",,,1
1000,Tata Steel Limited,91510334,GATE PASS,AB,9500,T040,2020,3,24-06-2019,24-06-2019,"-2,000.00",INR,"-2,000.00",INR,0.00,0.00,"-2,000.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,DD 007452,91510334,,,,2408402,Vendor Reconciliation Account - Domestic,1242312,Current Account With Sbi(Jsr) - Tubes,,1242312,Current Account With Sbi(Jsr) - Tubes,0,37,H,,,91510334,24-06-2019,24-06-2019,17:27:28,0.00,"-2,000.00",,,2
1000,Tata Steel Limited,92721343,,AB,9600,T018,2020,9,26-12-2019,26-12-2019,"6,55,568.16",INR,"6,55,568.16",INR,0.00,0.00,"6,55,568.16",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,92721343,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,27,S,,,92721343,26-12-2019,26-12-2019,16:28:13,0.00,"6,55,568.16",,,1
1000,Tata Steel Limited,92721343,,AB,9600,T018,2020,9,26-12-2019,26-12-2019,"-6,55,568.16",INR,"-6,55,568.16",INR,0.00,0.00,"-6,55,568.16",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,92721343,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,37,H,,,92721343,26-12-2019,26-12-2019,16:28:13,0.00,"-6,55,568.16",,,2
1000,Tata Steel Limited,93385931,,AB,5010,T018,2020,12,28-03-2020,28-03-2020,"7,802.46",INR,"7,802.46",INR,0.00,0.00,"7,802.46",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,93385931,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,27,S,,,93385931,28-03-2020,28-03-2020,20:44:54,0.00,"7,802.46",,,1
1000,Tata Steel Limited,93385931,,AB,5010,T018,2020,12,28-03-2020,28-03-2020,"-7,802.46",INR,"-7,802.46",INR,0.00,0.00,"-7,802.46",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,93385931,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,37,H,,,93385931,28-03-2020,28-03-2020,20:44:54,0.00,"-7,802.46",,,2
1000,Tata Steel Limited,93393253,,AB,5010,T018,2020,12,29-03-2020,29-03-2020,"-2,834.00",INR,"-2,834.00",INR,0.00,0.00,"-2,834.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,93393253,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,37,H,,,93393253,29-03-2020,29-03-2020,11:15:34,0.00,"-2,834.00",,,2
1000,Tata Steel Limited,93393253,,AB,5010,T018,2020,12,29-03-2020,29-03-2020,"2,834.00",INR,"2,834.00",INR,0.00,0.00,"2,834.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,93393253,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,27,S,,,93393253,29-03-2020,29-03-2020,11:15:34,0.00,"2,834.00",,,1
1000,Tata Steel Limited,56000291,GATEPASS/RFID,SB,9600,DNOT,2020,10,30-01-2020,30-01-2020,"-1,100.00",INR,"-1,100.00",INR,"-1,100.00",0.00,"-1,100.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,Gatepass/RFID Penalty Recovered from Vendor,GATEPASS DD RECD,56000291,,,,2408402,Vendor Reconciliation Account - Domestic,1242315,SBI Current Account No 10750909153- Kalinganagar,,1242315,SBI Current Account No 10750909153- Kalinganagar,0,31,H,,,92978106,30-01-2020,30-01-2020,16:48:39,0.00,"-1,100.00",,,5
1000,Tata Steel Limited,92978106,,AB,9600,T018,2020,10,30-01-2020,30-01-2020,"-1,100.00",INR,"-1,100.00",INR,0.00,0.00,"-1,100.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,92978106,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,37,H,,,92978106,30-01-2020,30-01-2020,16:50:29,0.00,"-1,100.00",,,1
1000,Tata Steel Limited,92978106,,AB,9600,T018,2020,10,30-01-2020,30-01-2020,"1,100.00",INR,"1,100.00",INR,0.00,0.00,"1,100.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,,92978106,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,27,S,,,92978106,30-01-2020,30-01-2020,16:50:29,0.00,"1,100.00",,,2
1000,Tata Steel Limited,44234301,TDS ON PROVISION,KR,9000,SERV,2020,12,31-03-2020,31-03-2020,"26,922.00",INR,"26,922.00",INR,0.00,0.00,"26,922.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,V,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,07-04-2020,16:14:04,0.00,"26,922.00",,,2
1000,Tata Steel Limited,44234301,TDS ON PROVISION,KR,9000,SERV,2020,12,31-03-2020,31-03-2020,"-26,922.00",INR,"-26,922.00",INR,0.00,0.00,"-26,922.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,44234301,,,,2408402,Vendor Reconciliation Account - Domestic,2405215,Provisional Liability for TDS on Povision- Manual,,2405215,Provisional Liability for TDS on Povision- Manual,0,31,H,,,,,07-04-2020,16:14:04,0.00,"-26,922.00",,,3
1000,Tata Steel Limited,44234302,TDS ON PROVISION,KR,9000,SERV,2020,12,31-03-2020,31-03-2020,"-64,706.00",INR,"-64,706.00",INR,0.00,0.00,"-64,706.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,44234302,,,,2408402,Vendor Reconciliation Account - Domestic,2405215,Provisional Liability for TDS on Povision- Manual,,2405215,Provisional Liability for TDS on Povision- Manual,0,31,H,,,,,07-04-2020,16:14:06,0.00,"-64,706.00",,,3
1000,Tata Steel Limited,44234302,TDS ON PROVISION,KR,9000,SERV,2020,12,31-03-2020,31-03-2020,"64,706.00",INR,"64,706.00",INR,0.00,0.00,"64,706.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,V,,,,2408402,Vendor Reconciliation Account - Domestic,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,07-04-2020,16:14:06,0.00,"64,706.00",,,2
1000,Tata Steel Limited,44234305,TDS ON PROVISION,KR,9000,SERV,2020,12,31-03-2020,31-03-2020,"-48,508.00",INR,"-48,508.00",INR,0.00,0.00,"-48,508.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,44234305,,,,2408402,Vendor Reconciliation Account - Domestic,2405215,Provisional Liability for TDS on Povision- Manual,,2405215,Provisional Liability for TDS on Povision- Manual,0,31,H,,,,,07-04-2020,16:14:09,0.00,"-48,508.00",,,3
1000,Tata Steel Limited,44234305,TDS ON PROVISION,KR,9000,SERV,2020,12,31-03-2020,31-03-2020,"48,508.00",INR,"48,508.00",INR,0.00,0.00,"48,508.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,V,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,07-04-2020,16:14:09,0.00,"48,508.00",,,2
1000,Tata Steel Limited,44234306,TDS ON PROVISION,KR,9000,SERV,2020,12,31-03-2020,31-03-2020,"-5,274.00",INR,"-5,274.00",INR,0.00,0.00,"-5,274.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,44234306,,,,2408402,Vendor Reconciliation Account - Domestic,2405215,Provisional Liability for TDS on Povision- Manual,,2405215,Provisional Liability for TDS on Povision- Manual,0,31,H,,,,,07-04-2020,16:14:11,0.00,"-5,274.00",,,3
1000,Tata Steel Limited,44234306,TDS ON PROVISION,KR,9000,SERV,2020,12,31-03-2020,31-03-2020,"5,274.00",INR,"5,274.00",INR,0.00,0.00,"5,274.00",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,TDS on Year End Manual Prov FY 2020,TDS on Provisions Manual,V,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,21,S,,,,,07-04-2020,16:14:11,0.00,"5,274.00",,,2
1000,Tata Steel Limited,93412068,,AB,5030,T085,2020,12,31-03-2020,31-03-2020,"3,82,999.65",INR,"3,82,999.65",INR,0.00,0.00,"3,82,999.65",0.00,0.00,T085,TATA BLUESCOPE STEEL LTD,,,,93412068,,,,2408402,Vendor Reconciliation Account - Domestic,2408403,Unadjusted Credit Balance (Vendors),,2408403,Unadjusted Credit Balance (Vendors),0,27,S,,,93412068,31-03-2020,05-04-2020,17:40:37,0.00,"3,82,999.65",,,2
1000,Tata BlueScope Steel Ltd,100004403,,AB,1109,,2019,1,28/04/2019,28/04/2019,"(1,87,065.11)",INR,-187065.11,INR,0,0,-187065.11,0,0,318420,Tata Steel Limited - LD1 Fire Servi,,,,100004403,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,17,H,,,100004403,28/04/2019,28/04/2019,0.662384259259259,0,0,,,2
1000,Tata BlueScope Steel Ltd,100004318,,AB,1108,,2019,1,28/04/2019,28/04/2019,"(48,68,539.72)",INR,-4868539.72,INR,0,0,-4868539.72,0,0,306263,Tata Steel limited ( CRC ),,,,100004318,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,17,H,,,100004318,28/04/2019,28/04/2019,0.490381944444444,0,0,,,3
1000,Tata BlueScope Steel Ltd,100004347,,AB,1109,,2019,1,28/04/2019,28/04/2019,"(51,21,003.34)",INR,-5121003.34,INR,0,0,-5121003.34,0,0,313029,Tata Steel Limited,,,,100004347,,,,110000,Customer - Domestic,310300,Customer - Advance against Sale,,310300,Customer - Advance against Sale,0,17,H,,,100004347,28/04/2019,28/04/2019,0.577916666666667,0,0,,,1
1000,Tata BlueScope Steel Ltd,100004315,,AB,1109,,2019,1,28/04/2019,28/04/2019,"2,249.00 ",INR,2249,INR,0,0,2249,0,0,304431,Tata Steel Limited (Tubes Division),,TDS SI0004100018,,2247,,4700066177/554,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100048476,30/06/2019,28/04/2019,0.487314814814815,0,0,,,1
1000,Tata BlueScope Steel Ltd,100004322,,AB,1106,,2019,1,28/04/2019,28/04/2019,"88,66,142.78 ",INR,8866142.78,INR,0,0,8866142.78,0,0,307259,Tata Steel Limited,,,,100004322,,,,310300,Customer - Advance against Sale,110000,Customer - Domestic,,110000,Customer - Domestic,0,9,S,A,,100004322,28/04/2019,28/04/2019,0.493321759259259,0,0,,,2
1000,Tata BlueScope Steel Ltd,100004317,,AB,1109,,2019,1,28/04/2019,28/04/2019,"13,01,599.00 ",INR,1301599,INR,0,0,1301599,0,0,305576,Tata Steel Ltd.,,CI1904100505,,58180,,4404444838/902,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100055938,25/07/2019,28/04/2019,0.489409722222222,0,0,,,2
1000,Tata BlueScope Steel Ltd,100004316,,AB,1109,,2019,1,28/04/2019,28/04/2019,"2,41,003.20 ",INR,241003.2,INR,0,0,241003.2,0,0,304431,Tata Steel Limited (Tubes Division),,SI1904100003,,2247,,4700066177/554,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100020120,26/05/2019,28/04/2019,0.488043981481482,0,0,,,1
1000,Tata BlueScope Steel Ltd,100004318,,AB,1108,,2019,1,28/04/2019,28/04/2019,"29,77,742.67 ",INR,2977742.67,INR,0,0,2977742.67,0,0,306263,Tata Steel limited ( CRC ),,CI1901100072,,57783,,2100556473/814,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100039079,28/06/2019,28/04/2019,0.490381944444444,0,0,,,2
1000,Tata BlueScope Steel Ltd,100004317,,AB,1109,,2019,1,28/04/2019,28/04/2019,"(63,00,326.80)",INR,-6300326.8,INR,0,0,-6300326.8,0,0,305576,Tata Steel Ltd.,,,,100004317,,,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,17,H,,,100004317,28/04/2019,28/04/2019,0.489409722222222,0,0,,,3
1000,Tata BlueScope Steel Ltd,100004315,,AB,1109,,2019,1,28/04/2019,28/04/2019,"14,415.07 ",INR,14415.07,INR,0,0,14415.07,0,0,304431,Tata Steel Limited (Tubes Division),,TDS SI0004100019,,2247,,4700066177/554,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100048476,30/06/2019,28/04/2019,0.487314814814815,0,0,,,2
